Running Ez Detect

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
        1    0.000    0.000   12.465   12.465 <string>:1(__init__)
        1    0.000    0.000   12.322   12.322 <string>:1(_preload_data)
        1    0.000    0.000    0.279    0.279 <string>:1(_read_raw_trc_header)
        1    0.000    0.000   12.745   12.745 <string>:1(read_raw_trc)
       13    0.000    0.000    0.000    0.000 <string>:12(__new__)
       57    0.000    0.000    0.000    0.000 __init__.py:118(getLevelName)
       57    0.000    0.000    0.004    0.000 __init__.py:1269(info)
       57    0.000    0.000    0.000    0.000 __init__.py:1347(findCaller)
       57    0.000    0.000    0.001    0.000 __init__.py:1377(makeRecord)
       57    0.000    0.000    0.004    0.000 __init__.py:1392(_log)
       57    0.000    0.000    0.002    0.000 __init__.py:1417(handle)
       57    0.000    0.000    0.002    0.000 __init__.py:1471(callHandlers)
       57    0.000    0.000    0.000    0.000 __init__.py:149(<lambda>)
       57    0.000    0.000    0.000    0.000 __init__.py:1501(getEffectiveLevel)
       57    0.000    0.000    0.000    0.000 __init__.py:1515(isEnabledFor)
       57    0.001    0.000    0.001    0.000 __init__.py:243(__init__)
       57    0.000    0.000    0.000    0.000 __init__.py:321(getMessage)
       57    0.000    0.000    0.000    0.000 __init__.py:379(usesTime)
       57    0.000    0.000    0.000    0.000 __init__.py:382(format)
       57    0.000    0.000    0.000    0.000 __init__.py:532(usesTime)
       57    0.000    0.000    0.000    0.000 __init__.py:538(formatMessage)
       57    0.000    0.000    0.000    0.000 __init__.py:554(format)
      114    0.000    0.000    0.000    0.000 __init__.py:695(filter)
      114    0.000    0.000    0.000    0.000 __init__.py:799(acquire)
      114    0.000    0.000    0.000    0.000 __init__.py:806(release)
       57    0.000    0.000    0.000    0.000 __init__.py:819(format)
       57    0.000    0.000    0.002    0.000 __init__.py:842(handle)
       57    0.000    0.000    0.001    0.000 __init__.py:957(flush)
       57    0.000    0.000    0.002    0.000 __init__.py:968(emit)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _elementpath.py:231(_build_path_iterator)
        1    0.000    0.000    0.000    0.000 _elementpath.py:276(iterfind)
        1    0.000    0.000    0.000    0.000 _elementpath.py:287(find)
        2    0.000    0.000    0.000    0.000 _elementpath.py:70(xpath_tokenizer)
        1    0.000    0.000    0.000    0.000 _elementpath.py:85(prepare_child)
        2    0.000    0.000    0.000    0.000 _elementpath.py:87(select)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:38(_remove)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 annotations.py:152(__init__)
        1    0.000    0.000    0.000    0.000 annotations.py:171(<listcomp>)
        1    0.000    0.000    0.000    0.000 annotations.py:194(__len__)
        3    0.000    0.000    0.000    0.000 arraysetops.py:113(_unpack_tuple)
        3    0.000    0.000    0.000    0.000 arraysetops.py:121(unique)
        3    0.000    0.000    0.000    0.000 arraysetops.py:268(_unique1d)
        3    0.000    0.000    0.000    0.000 base.py:1990(times)
        3    0.000    0.000    0.000    0.000 base.py:1995(n_times)
        1    0.000    0.000    0.000    0.000 base.py:2152(close)
        1    0.000    0.000   12.465   12.465 base.py:317(__init__)
        1    0.000    0.000    0.000    0.000 base.py:461(_dtype)
        1    0.053    0.053   12.322   12.322 base.py:467(_read_segment)
        1    0.000    0.000   12.322   12.322 base.py:658(_preload_data)
        1    0.028    0.028    0.045    0.045 base.py:671(_update_times)
        6    0.000    0.000    0.000    0.000 base.py:681(first_samp)
        3    0.000    0.000    0.000    0.000 base.py:686(last_samp)
        4    0.000    0.000    0.000    0.000 base.py:727(_raw_lengths)
        4    0.000    0.000    0.000    0.000 base.py:729(<listcomp>)
        1    0.000    0.000    0.000    0.000 base.py:731(annotations)
        1    0.000    0.000    0.000    0.000 base.py:749(set_annotations)
        1    0.000    0.000    0.000    0.000 base.py:825(__del__)
        1    0.000    0.000    0.000    0.000 base.py:849(_parse_get_set_params)
        1    0.228    0.228    0.228    0.228 base.py:904(__getitem__)
        1    0.000    0.000    0.228    0.228 base.py:957(get_data)
        1    0.000    0.000    0.000    0.000 channels.py:193(compensation_grade)
        7    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:275(reset)
        7    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
       44    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        2    0.000    0.000    0.000    0.000 codecs.py:326(reset)
    19332    0.005    0.000    0.005    0.000 codecs.py:334(setstate)
        1    0.000    0.000    0.000    0.000 compensator.py:7(get_current_comp)
        6    0.000    0.000    0.144    0.024 evtio.py:110(_append_events)
       16    0.072    0.005    0.140    0.009 evtio.py:119(_appendEventsOfKind)
     2244    0.003    0.000    0.028    0.000 evtio.py:14(_newGuidString)
        1    0.000    0.000    0.000    0.000 evtio.py:153(__init__)
        1    0.000    0.000    0.000    0.000 evtio.py:163(name)
        1    0.000    0.000    0.000    0.000 evtio.py:166(event_tree)
     4493    0.004    0.000    0.037    0.000 evtio.py:17(_fixFormat)
        1    0.000    0.000    0.000    0.000 evtio.py:21(_buildEventTree)
        1    0.000    0.000    0.155    0.155 evtio.py:213(write_evt)
        3    0.000    0.000    0.000    0.000 evtio.py:57(_defineHFOType)
        2    0.000    0.000    0.146    0.073 evtio.py:86(_append_annotations)
        5    0.000    0.000    0.000    0.000 fixes.py:32(_get_args)
        5    0.000    0.000    0.000    0.000 fixes.py:34(<listcomp>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:19(fnmatch)
        1    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
        1    0.000    0.000    0.000    0.000 fnmatch.py:64(fnmatchcase)
